gene	report_path	source_image	copied_image	copied	reason
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/IF_images/U2OS_1.jpg	docs/assets/report-images/ARID3A/U2OS_1.jpg	True	copied_or_reused
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/IF_images/U2OS_2.jpg	docs/assets/report-images/ARID3A/U2OS_2.jpg	True	copied_or_reused
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	../assets/report-images/ARID3A/U2OS_1.jpg		False	source_not_found
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	../assets/report-images/ARID3A/U2OS_2.jpg		False	source_not_found
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/ARID3A-PAE.png	docs/assets/report-images/ARID3A/ARID3A-PAE.png	True	copied_or_reused
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	../assets/report-images/ARID3A/ARID3A-PAE.png		False	source_not_found
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ARID3A/ARID3A-PAE.png	docs/assets/report-images/ARID3A/ARID3A-PAE.png	True	copied_or_reused
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	../assets/report-images/ARID3A/ARID3A-PAE.png		False	source_not_found
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ARID3A/ARID3A-PAE.png	docs/assets/report-images/ARID3A/ARID3A-PAE.png	True	copied_or_reused
ARID3A	detail/chromatin/ARID3A/ARID3A-evaluation.md	../assets/report-images/ARID3A/ARID3A-PAE.png		False	source_not_found
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASF1A/IF_images/ASF1A_IF_red_green.jpg	docs/assets/report-images/ASF1A/ASF1A_IF_red_green.jpg	True	copied_or_reused
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	../assets/report-images/ASF1A/ASF1A_IF_red_green.jpg		False	source_not_found
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASF1A/ASF1A-PAE.png	docs/assets/report-images/ASF1A/ASF1A-PAE.png	True	copied_or_reused
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	../assets/report-images/ASF1A/ASF1A-PAE.png		False	source_not_found
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASF1A/ASF1A-PAE.png	docs/assets/report-images/ASF1A/ASF1A-PAE.png	True	copied_or_reused
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	../assets/report-images/ASF1A/ASF1A-PAE.png		False	source_not_found
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASXL3/ASXL3-PAE.png	docs/assets/report-images/ASXL3/ASXL3-PAE.png	True	copied_or_reused
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	../assets/report-images/ASXL3/ASXL3-PAE.png		False	source_not_found
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ASXL3/ASXL3-PAE.png	docs/assets/report-images/ASXL3/ASXL3-PAE.png	True	copied_or_reused
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	../assets/report-images/ASXL3/ASXL3-PAE.png		False	source_not_found
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ASXL3/ASXL3-PAE.png	docs/assets/report-images/ASXL3/ASXL3-PAE.png	True	copied_or_reused
ASXL3	detail/chromatin/ASXL3/ASXL3-evaluation.md	../assets/report-images/ASXL3/ASXL3-PAE.png		False	source_not_found
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/AURKC/AURKC-PAE.png	docs/assets/report-images/AURKC/AURKC-PAE.png	True	copied_or_reused
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	../assets/report-images/AURKC/AURKC-PAE.png		False	source_not_found
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/IF_images/A431_1.jpg	docs/assets/report-images/BAHD1/A431_1.jpg	True	copied_or_reused
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/IF_images/A431_2.jpg	docs/assets/report-images/BAHD1/A431_2.jpg	True	copied_or_reused
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	../assets/report-images/BAHD1/A431_1.jpg		False	source_not_found
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	../assets/report-images/BAHD1/A431_2.jpg		False	source_not_found
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/BAHD1-PAE.png	docs/assets/report-images/BAHD1/BAHD1-PAE.png	True	copied_or_reused
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	../assets/report-images/BAHD1/BAHD1-PAE.png		False	source_not_found
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BAHD1/BAHD1-PAE.png	docs/assets/report-images/BAHD1/BAHD1-PAE.png	True	copied_or_reused
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	../assets/report-images/BAHD1/BAHD1-PAE.png		False	source_not_found
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BAHD1/BAHD1-PAE.png	docs/assets/report-images/BAHD1/BAHD1-PAE.png	True	copied_or_reused
BAHD1	detail/chromatin/BAHD1/BAHD1-evaluation.md	../assets/report-images/BAHD1/BAHD1-PAE.png		False	source_not_found
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/BOD1L2/BOD1L2-PAE.png	docs/assets/report-images/BOD1L2/BOD1L2-PAE.png	True	copied_or_reused
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	../assets/report-images/BOD1L2/BOD1L2-PAE.png		False	source_not_found
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/BOD1L2/BOD1L2-PAE.png	docs/assets/report-images/BOD1L2/BOD1L2-PAE.png	True	copied_or_reused
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	../assets/report-images/BOD1L2/BOD1L2-PAE.png		False	source_not_found
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	docs/assets/report-images/CENPK/CENPK-PAE.png	True	copied_or_reused
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	../assets/report-images/CENPK/CENPK-PAE.png		False	source_not_found
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	docs/assets/report-images/CENPK/CENPK-PAE.png	True	copied_or_reused
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	../assets/report-images/CENPK/CENPK-PAE.png		False	source_not_found
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPK/CENPK-PAE.png	docs/assets/report-images/CENPK/CENPK-PAE.png	True	copied_or_reused
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	../assets/report-images/CENPK/CENPK-PAE.png		False	source_not_found
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPK/CENPK-PAE.png	docs/assets/report-images/CENPK/CENPK-PAE.png	True	copied_or_reused
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	../assets/report-images/CENPK/CENPK-PAE.png		False	source_not_found
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	docs/assets/report-images/CENPL/CENPL-PAE.png	True	copied_or_reused
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPL/CENPL-PAE.png	docs/assets/report-images/CENPL/CENPL-PAE.png	True	copied_or_reused
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	../assets/report-images/CENPL/CENPL-PAE.png		False	source_not_found
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	../assets/report-images/CENPL/CENPL-PAE.png		False	source_not_found
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPL/CENPL-PAE.png	docs/assets/report-images/CENPL/CENPL-PAE.png	True	copied_or_reused
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	../assets/report-images/CENPL/CENPL-PAE.png		False	source_not_found
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPL/CENPL-PAE.png	docs/assets/report-images/CENPL/CENPL-PAE.png	True	copied_or_reused
CENPL	detail/chromatin/CENPL/CENPL-evaluation.md	../assets/report-images/CENPL/CENPL-PAE.png		False	source_not_found
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	docs/assets/report-images/CENPV/CENPV-PAE.png	True	copied_or_reused
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPV/CENPV-PAE.png	docs/assets/report-images/CENPV/CENPV-PAE.png	True	copied_or_reused
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	../assets/report-images/CENPV/CENPV-PAE.png		False	source_not_found
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	../assets/report-images/CENPV/CENPV-PAE.png		False	source_not_found
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPV/CENPV-PAE.png	docs/assets/report-images/CENPV/CENPV-PAE.png	True	copied_or_reused
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	../assets/report-images/CENPV/CENPV-PAE.png		False	source_not_found
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPV/CENPV-PAE.png	docs/assets/report-images/CENPV/CENPV-PAE.png	True	copied_or_reused
CENPV	detail/chromatin/CENPV/CENPV-evaluation.md	../assets/report-images/CENPV/CENPV-PAE.png		False	source_not_found
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	docs/assets/report-images/CENPX/CENPX-PAE.png	True	copied_or_reused
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	../assets/report-images/CENPX/CENPX-PAE.png		False	source_not_found
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	docs/assets/report-images/CENPX/CENPX-PAE.png	True	copied_or_reused
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	../assets/report-images/CENPX/CENPX-PAE.png		False	source_not_found
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CENPX/CENPX-PAE.png	docs/assets/report-images/CENPX/CENPX-PAE.png	True	copied_or_reused
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	../assets/report-images/CENPX/CENPX-PAE.png		False	source_not_found
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CENPX/CENPX-PAE.png	docs/assets/report-images/CENPX/CENPX-PAE.png	True	copied_or_reused
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	../assets/report-images/CENPX/CENPX-PAE.png		False	source_not_found
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/IF_images/A-431_1.jpg	docs/assets/report-images/CFDP1/A-431_1.jpg	True	copied_or_reused
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/IF_images/A-431_2.jpg	docs/assets/report-images/CFDP1/A-431_2.jpg	True	copied_or_reused
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	../assets/report-images/CFDP1/A-431_1.jpg		False	source_not_found
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	../assets/report-images/CFDP1/A-431_2.jpg		False	source_not_found
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/CFDP1-PAE.png	docs/assets/report-images/CFDP1/CFDP1-PAE.png	True	copied_or_reused
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	../assets/report-images/CFDP1/CFDP1-PAE.png		False	source_not_found
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CFDP1/CFDP1-PAE.png	docs/assets/report-images/CFDP1/CFDP1-PAE.png	True	copied_or_reused
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	../assets/report-images/CFDP1/CFDP1-PAE.png		False	source_not_found
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CFDP1/CFDP1-PAE.png	docs/assets/report-images/CFDP1/CFDP1-PAE.png	True	copied_or_reused
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	../assets/report-images/CFDP1/CFDP1-PAE.png		False	source_not_found
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/IF_images/A-431_1.jpg	docs/assets/report-images/CRAMP1/A-431_1.jpg	True	copied_or_reused
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/IF_images/A-431_2.jpg	docs/assets/report-images/CRAMP1/A-431_2.jpg	True	copied_or_reused
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	../assets/report-images/CRAMP1/A-431_1.jpg		False	source_not_found
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	../assets/report-images/CRAMP1/A-431_2.jpg		False	source_not_found
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/CRAMP1-PAE.png	docs/assets/report-images/CRAMP1/CRAMP1-PAE.png	True	copied_or_reused
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	../assets/report-images/CRAMP1/CRAMP1-PAE.png		False	source_not_found
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CRAMP1/CRAMP1-PAE.png	docs/assets/report-images/CRAMP1/CRAMP1-PAE.png	True	copied_or_reused
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	../assets/report-images/CRAMP1/CRAMP1-PAE.png		False	source_not_found
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CRAMP1/CRAMP1-PAE.png	docs/assets/report-images/CRAMP1/CRAMP1-PAE.png	True	copied_or_reused
CRAMP1	detail/chromatin/CRAMP1/CRAMP1-evaluation.md	../assets/report-images/CRAMP1/CRAMP1-PAE.png		False	source_not_found
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/IF_images/A-431_1.jpg	docs/assets/report-images/CREB3L4/A-431_1.jpg	True	copied_or_reused
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/IF_images/A-431_2.jpg	docs/assets/report-images/CREB3L4/A-431_2.jpg	True	copied_or_reused
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	../assets/report-images/CREB3L4/A-431_1.jpg		False	source_not_found
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	../assets/report-images/CREB3L4/A-431_2.jpg		False	source_not_found
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/CREB3L4-PAE.png	docs/assets/report-images/CREB3L4/CREB3L4-PAE.png	True	copied_or_reused
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	../assets/report-images/CREB3L4/CREB3L4-PAE.png		False	source_not_found
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CREB3L4/CREB3L4-PAE.png	docs/assets/report-images/CREB3L4/CREB3L4-PAE.png	True	copied_or_reused
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	../assets/report-images/CREB3L4/CREB3L4-PAE.png		False	source_not_found
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CREB3L4/CREB3L4-PAE.png	docs/assets/report-images/CREB3L4/CREB3L4-PAE.png	True	copied_or_reused
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	../assets/report-images/CREB3L4/CREB3L4-PAE.png		False	source_not_found
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/IF_images/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg	docs/assets/report-images/CSNK1A1/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg	True	copied_or_reused
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	../assets/report-images/CSNK1A1/CSNK1A1_IF_1028_B8_3_blue_red_green.jpg		False	source_not_found
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	docs/assets/report-images/CSNK1A1/CSNK1A1-PAE.png	True	copied_or_reused
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	../assets/report-images/CSNK1A1/CSNK1A1-PAE.png		False	source_not_found
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/CSNK1A1/CSNK1A1-PAE.png	docs/assets/report-images/CSNK1A1/CSNK1A1-PAE.png	True	copied_or_reused
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	../assets/report-images/CSNK1A1/CSNK1A1-PAE.png		False	source_not_found
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/IF_images/DSN1_HEL_61.jpg	docs/assets/report-images/DSN1/DSN1_HEL_61.jpg	True	copied_or_reused
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/IF_images/DSN1_HEL_62.jpg	docs/assets/report-images/DSN1/DSN1_HEL_62.jpg	True	copied_or_reused
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	../assets/report-images/DSN1/DSN1_HEL_61.jpg		False	source_not_found
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	../assets/report-images/DSN1/DSN1_HEL_62.jpg		False	source_not_found
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/DSN1-PAE.png	docs/assets/report-images/DSN1/DSN1-PAE.png	True	copied_or_reused
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	../assets/report-images/DSN1/DSN1-PAE.png		False	source_not_found
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/DSN1/DSN1-PAE.png	docs/assets/report-images/DSN1/DSN1-PAE.png	True	copied_or_reused
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	../assets/report-images/DSN1/DSN1-PAE.png		False	source_not_found
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/DSN1/DSN1-PAE.png	docs/assets/report-images/DSN1/DSN1-PAE.png	True	copied_or_reused
DSN1	detail/chromatin/DSN1/DSN1-evaluation.md	../assets/report-images/DSN1/DSN1-PAE.png		False	source_not_found
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/IF_images/A-431_1.jpg	docs/assets/report-images/ELOF1/A-431_1.jpg	True	copied_or_reused
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/IF_images/U-251MG_1.jpg	docs/assets/report-images/ELOF1/U-251MG_1.jpg	True	copied_or_reused
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	../assets/report-images/ELOF1/A-431_1.jpg		False	source_not_found
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	../assets/report-images/ELOF1/U-251MG_1.jpg		False	source_not_found
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ELOF1/ELOF1-PAE.png	docs/assets/report-images/ELOF1/ELOF1-PAE.png	True	copied_or_reused
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	../assets/report-images/ELOF1/ELOF1-PAE.png		False	source_not_found
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ELOF1/ELOF1-PAE.png	docs/assets/report-images/ELOF1/ELOF1-PAE.png	True	copied_or_reused
ELOF1	detail/chromatin/ELOF1/ELOF1-evaluation.md	../assets/report-images/ELOF1/ELOF1-PAE.png		False	source_not_found
EME2	detail/chromatin/EME2/EME2-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EME2/EME2-PAE.png	docs/assets/report-images/EME2/EME2-PAE.png	True	copied_or_reused
EME2	detail/chromatin/EME2/EME2-evaluation.md	../assets/report-images/EME2/EME2-PAE.png		False	source_not_found
EME2	detail/chromatin/EME2/EME2-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/EME2/EME2-PAE.png	docs/assets/report-images/EME2/EME2-PAE.png	True	copied_or_reused
EME2	detail/chromatin/EME2/EME2-evaluation.md	../assets/report-images/EME2/EME2-PAE.png		False	source_not_found
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EXD2/IF_images/NIH-3T3_1.jpg	docs/assets/report-images/EXD2/NIH-3T3_1.jpg	True	copied_or_reused
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/EXD2/IF_images/A-431_1.jpg	docs/assets/report-images/EXD2/A-431_1.jpg	True	copied_or_reused
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	../assets/report-images/EXD2/NIH-3T3_1.jpg		False	source_not_found
EXD2	detail/chromatin/EXD2/EXD2-evaluation.md	../assets/report-images/EXD2/A-431_1.jpg		False	source_not_found
